,Borough,Neighborhood,ID,Name,Likes,Rating,Tips
0,Bronx,Parkchester,0,0,0,0,0
1,Bronx,Belmont,0,0,0,0,0
2,Brooklyn,Fort Greene,5bd49e5c1c675b002c9836ea,Peaches Hothouse,45,8.2,15
3,Brooklyn,Ocean Hill,4d55d7e5ba5b224b3a5d1314,Magic Soul Food,4,7.1,9
4,Brooklyn,Ocean Hill,0,0,0,0,0
5,Brooklyn,Prospect Park South,4c1fe97deac020a125d14bc2,Manna's Soul Food,4,6.7,3
6,Manhattan,Central Harlem,4ad22304f964a5209bdf20e3,Londel's Restaurant,27,7.2,17
7,Manhattan,Upper West Side,4edfd5865c5cced979ab7dd1,Jacob's Pickles,1976,9.1,653
8,Queens,St. Albans,0,0,0,0,0
9,Queens,Rochdale,0,0,0,0,0
10,Queens,Far Rockaway,0,0,0,0,0
11,Queens,Jamaica Hills,4c3aaa4916cb2d7fd8b801a9,Crown Fried Chicken,6,5.9,7
